number,value,datetime_start,datetime_complete,duration,params_alpha1,params_alpha2,params_attraction,params_avoidance,params_vel_weight,state
39,96.0518520186362,2025-04-26 10:13:22.958633,2025-04-26 10:35:27.719209,0 days 00:22:04.760576,9.656229693752318,0.648182228796164,25.609440953893323,5.606525354983334,0.716432174953485,COMPLETE
40,98.23223304703362,2025-04-26 10:35:27.719478,2025-04-26 10:59:22.120291,0 days 00:23:54.400813,14.007529920274761,0.8539390767624645,12.214076051148837,1.8876159448654772,0.34611354103576114,COMPLETE
41,100.0,2025-04-26 10:59:22.120574,2025-04-26 11:22:39.931551,0 days 00:23:17.810977,7.01319215175245,0.9169358833705826,20.798228345238435,3.371825738810156,0.5422695170363652,COMPLETE
42,96.38122531235098,2025-04-26 11:22:39.931932,2025-04-26 11:46:44.301856,0 days 00:24:04.369924,6.44175122982938,0.7852754293566562,28.078289091279174,4.751667205085105,0.6072405484374903,COMPLETE
43,96.46445359327215,2025-04-26 11:46:44.302239,2025-04-26 12:11:14.613288,0 days 00:24:30.311049,7.570774412227988,0.9435431489918504,15.765593900933098,3.944481204092782,0.5471661906903691,COMPLETE
44,96.46446609391174,2025-04-26 12:11:14.613571,2025-04-26 12:36:19.668888,0 days 00:25:05.055317,8.879800822908882,0.8491838356940307,21.870212637759234,3.4348335442597815,0.4395938305023775,COMPLETE
45,98.20016445466308,2025-04-26 12:36:19.669270,2025-04-26 13:02:03.151007,0 days 00:25:43.481737,10.294879028704973,0.9370200856121608,23.864502744814523,2.8428475000375464,0.7202845828455682,COMPLETE
46,96.23019011170375,2025-04-26 13:02:03.151411,2025-04-26 13:28:07.284877,0 days 00:26:04.133466,12.741259773663398,0.7174705067339293,19.15323286994273,1.4875226580227,0.618217189298836,COMPLETE
47,96.21253513317163,2025-04-26 13:28:07.285170,2025-04-26 13:55:00.278913,0 days 00:26:52.993743,7.3822957801853955,0.7856483054229906,7.99442998628216,7.601690458968324,0.9117187497631115,COMPLETE
48,95.9082114786878,2025-04-26 13:55:00.279230,2025-04-26 14:25:49.442305,0 days 00:30:49.163075,10.10045529641676,0.019535812484457238,23.351899563614012,4.990401969404706,0.15461787790502962,COMPLETE
49,98.23220117134125,2025-04-26 14:25:49.442562,2025-04-26 14:54:44.780658,0 days 00:28:55.338096,13.4534215513094,0.6293480431807743,25.068464705445187,1.4652431760722329,0.39611715632265243,COMPLETE
